,vocab_size,block_size,num_layers,hidden_size,num_params
0,69.0,10240.0,12.0,256.0,90894149.0
1,69.0,10240.0,12.0,512.0,181665349.0
2,69.0,10240.0,12.0,1024.0,363207749.0
3,69.0,10240.0,12.0,2048.0,726292549.0
4,69.0,10240.0,12.0,4096.0,1452462149.0
5,69.0,10240.0,12.0,6128.0,2172958549.0
6,69.0,10240.0,12.0,8192.0,2904801349.0
7,69.0,10240.0,12.0,10128.0,3591258549.0
8,69.0,10240.0,28.0,256.0,189644613.0
9,69.0,10240.0,28.0,512.0,379002437.0
10,69.0,10240.0,28.0,1024.0,757718085.0
11,69.0,10240.0,28.0,2048.0,1515149381.0
12,69.0,10240.0,28.0,4096.0,3030011973.0
13,69.0,10240.0,28.0,6128.0,4533039701.0
14,69.0,10240.0,28.0,8192.0,6059737157.0
15,69.0,10240.0,28.0,10128.0,7491755701.0
16,69.0,10240.0,44.0,256.0,288395077.0
17,69.0,10240.0,44.0,512.0,576339525.0
18,69.0,10240.0,44.0,1024.0,1152228421.0
19,69.0,10240.0,44.0,2048.0,2304006213.0
20,69.0,10240.0,44.0,4096.0,4607561797.0
21,69.0,10240.0,44.0,6128.0,6893120853.0
22,69.0,10240.0,44.0,8192.0,9214672965.0
23,69.0,10240.0,44.0,10128.0,11392252853.0
24,69.0,10240.0,64.0,256.0,411833157.0
25,69.0,10240.0,64.0,512.0,823010885.0
26,69.0,10240.0,64.0,1024.0,1645366341.0
27,69.0,10240.0,64.0,2048.0,3290077253.0
28,69.0,10240.0,64.0,4096.0,6579499077.0
29,69.0,10240.0,64.0,6128.0,9843222293.0
30,69.0,10240.0,64.0,8192.0,13158342725.0
31,69.0,10240.0,64.0,10128.0,16267874293.0
32,69.0,10240.0,96.0,256.0,609334085.0
33,69.0,10240.0,96.0,512.0,1217685061.0
34,69.0,10240.0,96.0,1024.0,2434387013.0
35,69.0,10240.0,96.0,2048.0,4867790917.0
36,69.0,10240.0,96.0,4096.0,9734598725.0
37,69.0,10240.0,96.0,6128.0,14563384597.0
38,69.0,10240.0,96.0,8192.0,19468214341.0
39,69.0,10240.0,96.0,10128.0,24068868597.0
40,69.0,10240.0,128.0,256.0,806835013.0
41,69.0,10240.0,128.0,512.0,1612359237.0
42,69.0,10240.0,128.0,1024.0,3223407685.0
43,69.0,10240.0,128.0,2048.0,6445504581.0
44,69.0,10240.0,128.0,4096.0,12889698373.0
45,69.0,10240.0,128.0,6128.0,19283546901.0
46,69.0,10240.0,128.0,8192.0,25778085957.0
47,69.0,10240.0,128.0,10128.0,31869862901.0
48,69.0,10240.0,164.0,256.0,1029023557.0
49,69.0,10240.0,164.0,512.0,2056367685.0
50,69.0,10240.0,164.0,1024.0,4111055941.0
51,69.0,10240.0,164.0,2048.0,8220432453.0
52,69.0,10240.0,164.0,4096.0,16439185477.0
53,69.0,10240.0,164.0,6128.0,24593729493.0
54,69.0,10240.0,164.0,8192.0,32876691525.0
55,69.0,10240.0,164.0,10128.0,40645981493.0
